Experiment,Mood,ItemName,VerbType,Verb,Group,Itemno,Sentence,Question,EmbeddedVerb,
Experiment,ind,critical+29+ind,Fiction,hacer creer,A,29,Lucía no les hizo creer que Sofía iba a llegar tarde.,¿Iba a llegar tarde Sofía?,llegar,
Experiment,subj,critical+29+subj,Fiction,hacer creer,B,29,Lucía no les hizo creer que Sofía fuese a llegar tarde.,¿Iba a llegar tarde Sofía?,llegar,
Experiment,ind,critical+30+ind,Fiction,hacer creer,B,30,Lucía no les hizo creer que Pedro estaba enfermo.,¿Estaba Pedro enfermo?,estar,
Experiment,subj,critical+30+subj,Fiction,hacer creer,A,30,Lucía no les hizo creer que Pedro estuviese enfermo.,¿Estaba Pedro enfermo?,estar,
Fillers,subj,filler+31+subj,,querer,A,31,Ana quería que su padre le abriese la puerta.,¿Le abrió su padre la puerta?,?,
Fillers,subj,filler+32+subj,,desear,A,32,Laura deseaba que Carlos llegara a tiempo.,¿Llegó Carlos a tiempo?,?,
Fillers,subj,filler+33+subj,,ordenar,A,33,Enrique ordenó que ordenaran el laboratorio.,¿Ordenaron el laboratorio?,?,
Fillers,subj,filler+34+subj,,prohibir,A,34,Fernando prohibió que fueran a la montaña.,¿Fueron a la montaña?,?,
Fillers,subj,filler+35+subj,,suplicar,A,35,Federico suplicó que le dejaran tranquilo.,¿Le dejaron tranquilo?,?,
Fillers,subj,filler+36+subj,,lamentar,A,36,Ana lamentaba que su vecino fuera ruidoso.,¿Era su vecino ruidoso?,yes,
Fillers,subj,filler+37+subj,,lamentar,A,37,Ana lamentaba que Rodrigo no hubiera ido a la fiesta.,¿Había ido a la fiesta Rodrigo?,no,
Fillers,subj,filler+38+subj,,alegrarse,A,38,María se alegraba de que hiciera buen tiempo.,¿Hacía buen tiempo?,yes,
Fillers,subj,filler+39+subj,,alegrarse,A,39,Carmen se alegraba de que no lloviera.,¿Llovía?,no,
Fillers,subj,filler+40+subj,,conseguir,A,40,Gema consiguió que Amanda sonriera.,¿Sonrió Amanda?,yes,
Fillers,subj,filler+41+subj,,conseguir,A,41,Gema consiguió que Felipe no se enfadara.,¿Se enfadó Felipe?,no,
Fillers,subj,filler+42+subj,,lograr,A,42,Helena logró que le pusieran extensiones.,¿Le pusieron extensiones a Helena?,yes,
Fillers,subj,filler+43+subj,,lograr,A,43,Helena logró que nadie saliera del recinto.,¿Salió alguien del recinto?,no,
Fillers,subj,filler+44+subj,,entristecerse,A,44,Oscar se entristeció que de su amigo se fuera a vivir al extranjero.,¿Se fue su amigo a vivir al extranjero?,yes,
Fillers,subj,filler+45+subj,,entristecerse,A,45,Ana se entristeció de que no hubiera más días de vacaciones.,¿Había más días de vacaciones?,no,
Fillers,ind,filler+46+ind,,darse cuenta,A,46,Mario se dio cuenta de que María estaba cansada.,¿Estaba María cansada?,yes,
Fillers,ind,filler+47+ind,,darse cuenta,A,47,Daniel se dio cuenta de que no quedaba agua.,¿Quedaba agua?,no,
Fillers,ind,filler+48+ind,,darse cuenta,A,48,Felipe no se dio cuenta de quién se había marchado.,¿Se había marchado Carlos?,?,
Fillers,ind,filler+49+ind,,admitir,A,49,Miguel admitió que Juan había roto el vaso.,¿Había roto Juan el vaso?,yes,
Fillers,ind,filler+50+ind,,admitir,A,50,Lucía admitió que no sabía cómo llegar a su casa.,¿Sabía Lucía cómo llegar a su casa?,no,
Fillers,ind,filler+51+ind,,admitir,A,51,Daniel no admitió quién sería su nueva pareja.,¿Era Carlos su nueva pareja?,?,
Fillers,ind,filler+52+ind,,saber,A,52,Rocío sabía que el carpintero había ido a la farmacia.,¿Había ido el carpintero a la farmacia?,yes,
Fillers,ind,filler+53+ind,,saber,A,53,El peluquero sabía que Ana no se teñía el pelo.,¿Se teñía Ana el pelo?,no,
Fillers,ind,filler+54+ind,,saber,A,54,El jardinero sabía quién había robado el coche.,¿Había Ana robado el coche?,?,
Fillers,ind,filler+55+ind,,demostrar,A,55,El detective demostró que Pablo era el asesino.,¿Era Pablo el asesino?,yes,
Fillers,ind,filler+56+ind,,demostrar,A,56,Estrella demostró que Juan no tenía razón.,¿Tenía Juan razón?,no,
Fillers,ind,filler+57+ind,,demostrar,A,57,No demostraron quién era el culpable.,¿Era Ana culpable?,?,
Fillers,ind,filler+58+ind,,decir,A,58,Luis dijo que Ana había aprobado el examen.,¿Había aprobado Ana el examen?,?,
Fillers,ind,filler+59+ind,,decir,A,59,Jorge dijo que Belén no había suspendido el examen.,¿Había suspendido Belén el examen?,?,
Fillers,ind,filler+60+ind,,decir,A,60,Sofía dijo que Lucía había roto el cristal.,¿Había roto Lucía el cristal?,?,
Fillers,subj,filler+31+subj,,querer,B,31,Ana quería que su padre le abriese la puerta.,¿Le abrió su padre la puerta?,?,
Fillers,subj,filler+32+subj,,desear,B,32,Laura deseaba que Carlos llegara a tiempo.,¿Llegó Carlos a tiempo?,?,
Fillers,subj,filler+33+subj,,ordenar,B,33,Enrique ordenó que ordenaran el laboratorio.,¿Ordenaron el laboratorio?,?,
Fillers,subj,filler+34+subj,,prohibir,B,34,Fernando prohibió que fueran a la montaña.,¿Fueron a la montaña?,?,
Fillers,subj,filler+35+subj,,suplicar,B,35,Federico suplicó que le dejaran tranquilo.,¿Le dejaron tranquilo?,?,
Fillers,subj,filler+36+subj,,lamentar,B,36,Ana lamentaba que su vecino fuera ruidoso.,¿Era su vecino ruidoso?,yes,
Fillers,subj,filler+37+subj,,lamentar,B,37,Ana lamentaba que Rodrigo no hubiera ido a la fiesta.,¿Había ido a la fiesta Rodrigo?,no,
Fillers,subj,filler+38+subj,,alegrarse,B,38,María se alegraba de que hiciera buen tiempo.,¿Hacía buen tiempo?,yes,
Fillers,subj,filler+39+subj,,alegrarse,B,39,Carmen se alegraba de que no lloviera.,¿Llovía?,no,
Fillers,subj,filler+40+subj,,conseguir,B,40,Gema consiguió que Amanda sonriera.,¿Sonrió Amanda?,yes,
Fillers,subj,filler+41+subj,,conseguir,B,41,Gema consiguió que Felipe no se enfadara.,¿Se enfadó Felipe?,no,
Fillers,subj,filler+42+subj,,lograr,B,42,Helena logró que le pusieran extensiones.,¿Le pusieron extensiones a Helena?,yes,
Fillers,subj,filler+43+subj,,lograr,B,43,Helena logró que nadie saliera del recinto.,¿Salió alguien del recinto?,no,
Fillers,subj,filler+44+subj,,entristecerse,B,44,Oscar se entristeció que de su amigo se fuera a vivir al extranjero.,¿Se fue su amigo a vivir al extranjero?,yes,
Fillers,subj,filler+45+subj,,entristecerse,B,45,Ana se entristeció de que no hubiera más días de vacaciones.,¿Había más días de vacaciones?,no,
Fillers,ind,filler+46+ind,,darse cuenta,B,46,Mario se dio cuenta de que María estaba cansada.,¿Estaba María cansada?,yes,
Fillers,ind,filler+47+ind,,darse cuenta,B,47,Daniel se dio cuenta de que no quedaba agua.,¿Quedaba agua?,no,
Fillers,ind,filler+48+ind,,darse cuenta,B,48,Felipe no se dio cuenta de quién se había marchado.,¿Se había marchado Carlos?,?,
Fillers,ind,filler+49+ind,,admitir,B,49,Miguel admitió que Juan había roto el vaso.,¿Había roto Juan el vaso?,yes,
Fillers,ind,filler+50+ind,,admitir,B,50,Lucía admitió que no sabía cómo llegar a su casa.,¿Sabía Lucía cómo llegar a su casa?,no,
Fillers,ind,filler+51+ind,,admitir,B,51,Daniel no admitió quién sería su nueva pareja.,¿Era Carlos su nueva pareja?,?,
Fillers,ind,filler+52+ind,,saber,B,52,Rocío sabía que el carpintero había ido a la farmacia.,¿Había ido el carpintero a la farmacia?,yes,
Fillers,ind,filler+53+ind,,saber,B,53,El peluquero sabía que Ana no se teñía el pelo.,¿Se teñía Ana el pelo?,no,
Fillers,ind,filler+54+ind,,saber,B,54,El jardinero sabía quién había robado el coche.,¿Había Ana robado el coche?,?,
Fillers,ind,filler+55+ind,,demostrar,B,55,El detective demostró que Pablo era el asesino.,¿Era Pablo el asesino?,yes,
Fillers,ind,filler+56+ind,,demostrar,B,56,Estrella demostró que Juan no tenía razón.,¿Tenía Juan razón?,no,
Fillers,ind,filler+57+ind,,demostrar,B,57,No demostraron quién era el culpable.,¿Era Ana culpable?,?,
Fillers,ind,filler+58+ind,,decir,B,58,Luis dijo que Ana había aprobado el examen.,¿Había aprobado Ana el examen?,?,
Fillers,ind,filler+59+ind,,decir,B,59,Jorge dijo que Belén no había suspendido el examen.,¿Había suspendido Belén el examen?,?,
Fillers,ind,filler+60+ind,,decir,B,60,Sofía dijo que Lucía había roto el cristal.,¿Había roto Lucía el cristal?,?,
